City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,La Ronge,CA,55.1001,-105.2842,37.65,87,40,3.44,scattered clouds
131,Vanavara,RU,60.34,102.2797,21.94,69,11,8.57,few clouds
132,Vila,PT,42.0304,-8.1588,56.34,63,100,10.87,overcast clouds
133,Yulara,AU,-25.2406,130.9889,76.84,13,1,16.11,clear sky
134,Erdenet,MN,49.0333,104.0833,31.84,64,91,2.39,overcast clouds
135,Te Anau,NZ,-45.4167,167.7167,45.41,92,38,0.69,scattered clouds
136,Sao Filipe,CV,14.8961,-24.4956,79.61,75,100,9.66,overcast clouds
137,Aksarka,RU,66.5606,67.7975,24.17,97,100,5.88,light snow
138,Kuytun,RU,54.3419,101.5036,26.87,75,23,1.1,few clouds
139,Bintulu,MY,3.1667,113.0333,75.61,100,40,0.0,light rain
140,Zonguldak,TR,41.25,31.8333,46.02,84,99,3.15,overcast clouds
141,Lorengau,PG,-2.0226,147.2712,81.45,79,56,5.06,broken clouds
142,Faanui,PF,-16.4833,-151.75,79.21,80,52,8.63,moderate rain
143,Mendeleyevo,RU,56.0333,37.2167,47.68,87,90,13.42,light rain
144,Bantou,CN,26.2151,117.4893,65.26,91,50,2.19,scattered clouds
145,Auki,SB,-8.7676,160.7034,77.77,87,27,3.4,scattered clouds
146,Juba,SS,4.8517,31.5825,85.14,43,90,2.46,overcast clouds
147,Leningradskiy,RU,69.3833,178.4167,6.15,91,100,12.41,overcast clouds
148,Bathsheba,BB,13.2167,-59.5167,86.61,66,75,13.8,broken clouds
149,Tanout,NE,14.9709,8.8879,95.04,8,36,11.32,scattered clouds
150,Korla,CN,41.7597,86.1469,50.27,40,43,1.61,scattered clouds
151,Penticton,CA,49.4806,-119.5858,44.49,90,90,6.91,light rain
152,Victoria,HK,22.2855,114.1577,78.85,81,25,1.01,light rain
153,Barra Do Corda,BR,-5.5,-45.25,90.77,41,47,3.65,scattered clouds
154,Mbalmayo,CM,3.5167,11.5,78.94,71,46,3.42,light rain
155,Dudinka,RU,69.4058,86.1778,-6.47,98,88,7.87,overcast clouds
156,West Wendover,US,40.7391,-114.0733,42.01,70,1,0.0,clear sky
157,Tessalit,ML,20.1986,1.0114,94.21,12,96,14.88,overcast clouds
158,Qeshm,IR,26.9581,56.2719,80.49,66,52,11.16,broken clouds
159,Yellowknife,CA,62.456,-114.3525,34.41,100,90,4.61,overcast clouds
160,Coruripe,BR,-10.1256,-36.1756,83.12,63,31,13.62,scattered clouds
161,Bac Lieu,VN,9.285,105.7244,80.1,84,98,9.22,overcast clouds
162,Chokwe,MZ,-24.5333,32.9833,73.36,52,60,14.65,broken clouds
163,Fortuna,US,40.5982,-124.1573,57.47,66,40,5.99,scattered clouds
164,Avarua,CK,-21.2078,-159.775,73.45,73,75,3.44,broken clouds
165,Moerai,PF,-22.4333,-151.3333,70.93,76,100,4.63,light rain
166,Haines Junction,CA,60.7522,-137.5108,26.55,68,53,4.61,broken clouds
167,Talcahuano,CL,-36.7167,-73.1167,64.08,68,0,6.91,clear sky
168,Tokmak,UA,47.2514,35.7058,48.33,61,99,5.73,overcast clouds
169,Quelimane,MZ,-17.8786,36.8883,76.95,61,40,12.66,scattered clouds
170,Nara,JP,34.6851,135.8049,61.88,48,0,4.92,clear sky
171,Bengkulu,ID,-3.8004,102.2655,77.77,85,100,3.56,light rain
172,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,90,3.44,light snow
173,Dawei,MM,14.0833,98.2,76.17,90,85,3.96,overcast clouds
174,Kirakira,SB,-10.4544,161.9205,80.65,83,20,4.88,few clouds
175,Moss Point,US,30.4116,-88.5345,72.1,57,1,9.22,clear sky
176,Pacific Grove,US,36.6177,-121.9166,67.8,84,1,1.01,clear sky
177,Saint-Felicien,CA,48.6501,-72.4491,43.3,81,75,5.75,broken clouds
178,Nantucket,US,41.2835,-70.0995,52.97,83,100,26.42,overcast clouds
179,Acapulco,MX,16.8634,-99.8901,82.22,78,1,3.44,clear sky
180,Gornyy,RU,55.1153,83.9059,30.2,48,98,13.29,overcast clouds
181,Tasiilaq,GL,65.6145,-37.6368,32.16,75,100,9.37,overcast clouds
182,Severo-Kurilsk,RU,50.6789,156.125,41.85,87,76,2.53,broken clouds
183,Krasnoarmeysk,RU,51.0239,45.6969,44.29,64,100,12.15,overcast clouds
184,Rawson,AR,-43.3002,-65.1023,68.9,35,1,11.43,clear sky
185,Berbera,SO,10.4396,45.0143,83.53,59,0,7.2,clear sky
186,Tornio,FI,65.8481,24.1466,41.02,96,100,12.5,overcast clouds
187,Vagamo,NO,61.8751,9.0967,42.64,99,99,4.0,light rain
188,Parita,PA,8.0,-80.5167,85.32,71,100,5.03,overcast clouds
189,Ponta Do Sol,PT,32.6667,-17.1,75.7,78,85,6.26,overcast clouds
190,Canandaigua,US,42.8742,-77.288,53.73,88,2,3.0,clear sky
191,Kelowna,CA,49.8831,-119.4857,45.28,94,90,6.91,light rain
192,Murbad,IN,19.25,73.4,85.21,54,47,3.2,light rain
193,Mangai,CD,-4.05,19.5333,78.24,78,100,4.59,moderate rain
194,Houma,US,29.5958,-90.7195,72.0,45,1,23.02,clear sky
195,Ayan,RU,56.45,138.1667,36.77,62,50,5.37,scattered clouds
196,Kalawit,PH,8.0667,122.5167,77.94,87,12,3.87,few clouds
197,Tshikapa,CD,-6.4167,20.8,73.26,94,91,1.52,moderate rain
198,Mareeba,AU,-17.0,145.4333,68.72,95,24,3.31,few clouds
199,Chute-Aux-Outardes,CA,49.1168,-68.399,49.41,57,1,8.05,clear sky
200,Kichera,RU,55.9375,110.0997,18.01,76,3,5.06,clear sky
201,Kolda,SN,12.8833,-14.95,86.31,70,0,4.61,clear sky
202,Areia,BR,-6.9633,-35.6917,87.39,26,52,16.75,broken clouds
203,Hobyo,SO,5.3505,48.5268,81.25,73,51,9.73,broken clouds
204,Port Lincoln,AU,-34.7333,135.8667,55.54,68,94,19.44,overcast clouds
205,Vernon,CA,50.2581,-119.2691,44.76,80,100,3.44,moderate rain
206,Port Hardy,CA,50.6996,-127.4199,46.58,93,90,2.3,light rain
207,Asyut,EG,27.181,31.1837,87.35,15,3,7.61,clear sky
208,Lokosovo,RU,61.1333,74.8167,30.79,96,100,13.44,light snow
209,Tual,ID,-5.6667,132.75,83.53,74,80,4.5,broken clouds
210,Xapuri,BR,-10.6517,-68.5044,86.65,36,92,3.0,overcast clouds
211,Shalya,RU,57.2471,58.7298,35.55,97,100,12.41,overcast clouds
212,Tiksi,RU,71.6872,128.8694,10.53,97,100,4.21,overcast clouds
213,Hamilton,US,39.1834,-84.5333,56.91,81,1,3.0,light rain
214,Lompoc,US,34.6391,-120.4579,72.57,78,1,5.75,clear sky
215,Luwuk,ID,-0.9516,122.7875,78.08,85,17,1.63,few clouds
216,Rio Gallegos,AR,-51.6226,-69.2181,69.85,28,75,12.66,broken clouds
217,Marzuq,YE,14.4,46.4667,77.86,25,1,1.81,clear sky
218,Meadow Lake,US,34.8014,-106.5436,52.95,42,1,8.97,clear sky
219,Pisco,PE,-13.7,-76.2167,64.45,82,20,8.05,few clouds
220,Tautira,PF,-17.7333,-149.15,78.82,83,78,14.72,light rain
221,Bagdarin,RU,54.4333,113.6,33.82,66,100,5.26,overcast clouds
222,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,76,95,8.48,overcast clouds
223,Taoudenni,ML,22.6783,-3.9836,93.36,22,64,3.76,broken clouds
224,Toamasina,MG,-18.1667,49.3833,77.0,78,75,3.44,thunderstorm with light rain
225,Barre,US,44.197,-72.5021,50.27,69,75,3.44,broken clouds
226,Avera,US,33.194,-82.5271,58.44,95,100,15.97,light rain
227,Aktash,RU,50.3,87.7333,21.9,80,55,3.15,broken clouds
