City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Taclobo,PH,80.92,broken clouds,12.3074,122.586,Seabreeze Inn
494,Kenitra,MA,75.72,clear sky,34.261,-6.5802,Bienvenue chez vous
496,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
503,Garowe,SO,82.17,clear sky,8.4054,48.4845,Curubo Hotel
507,Cockburn Town,TC,82.65,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
513,Esmeraldas,BR,84.31,few clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
515,Kalmunai,LK,79.61,broken clouds,7.4167,81.8167,VS Villa
516,Matara,LK,78.03,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
526,Trairi,BR,89.38,few clouds,-3.2778,-39.2689,janelas do mar
529,Mehran,IR,76.48,clear sky,33.1222,46.1646,بوتیک زنانه بهار
531,Coari,BR,86.27,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
532,Angoche,MZ,75.94,clear sky,-16.2325,39.9086,Guest House HESADA
537,Ixtapa,MX,80.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
538,Mendoza,AR,85.53,clear sky,-32.8908,-68.8272,Hotel Mendoza
540,Nicoya,CR,80.15,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
542,Nisia Floresta,BR,88.61,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
547,Lekoni,GA,83.46,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
549,Kavaratti,IN,80.42,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
550,Tay Ninh,VN,76.19,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
558,Waddan,LY,78.49,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
559,Santo Antonio Do Ica,BR,78.6,light rain,-3.1022,-67.9397,HOTEL AMAZON WAY
561,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
565,Mabaruma,GY,86.0,broken clouds,8.2,-59.7833,Monty Brooms Guest House
567,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
569,Santa Rita,BR,88.47,few clouds,-7.1139,-34.9781,Infinity Motel
571,Bireun,ID,79.99,broken clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
573,Kambove,CD,77.16,broken clouds,-10.8764,26.5969,Couvant des soeurs catholiques
581,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
585,Chuy,UY,80.17,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
586,Sal Rei,CV,84.4,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
591,Sola,VU,80.71,few clouds,-13.8833,167.55,Leumerus Bungalows
592,Ende,ID,80.33,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
594,Alexandria,EG,84.16,scattered clouds,31.2156,29.9553,Royal Crown Hotel
597,Sarai Sidhu,PK,78.57,clear sky,30.5949,71.9698,ADNAN MUGHAL HOUSE
599,Diu,IN,80.74,scattered clouds,20.7141,70.9822,Hotel Relax Inn
600,Axim,GH,82.29,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
601,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
603,Pemangkat,ID,77.92,overcast clouds,1.1667,108.9667,Ramah Kost KITA
604,Nyaunglebin,MM,75.94,overcast clouds,17.95,96.7333,Royal Motel
606,Cumaral,CO,80.24,broken clouds,4.2708,-73.4867,Finca El Jecho
610,San Rafael Del Sur,NI,83.37,scattered clouds,11.8485,-86.4384,Hospedaje El Chino
612,Nizwa,OM,79.5,overcast clouds,22.9333,57.5333,Orient Apartments
618,Sinnamary,GF,85.89,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
623,Daman,IN,80.76,broken clouds,20.4167,72.85,Silver Sands Beach Resort
624,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
630,Gigmoto,PH,79.25,broken clouds,13.7796,124.39,Cj's Travellers Inn
634,Siuna,NI,84.72,overcast clouds,13.7332,-84.7773,hotel los chinitos
636,Ailigandi,PA,86.5,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
644,Mogadishu,SO,79.65,clear sky,2.0371,45.3438,Hotel Juba
645,Pundaguitan,PH,83.35,clear sky,6.3711,126.1689,Leonardo Family Beach House 1
648,Daraitan,PH,78.71,overcast clouds,14.6028,121.4319,Daraitan Guesthouse
649,Gat,IL,80.4,broken clouds,31.61,34.7642,OlusHome
651,Isla Vista,US,84.13,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
657,Ratnagiri,IN,77.74,broken clouds,16.9833,73.3,Hotel Landmark
